epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.85091,2.28349,3.05301,2.39932,0.00333,0.90909,0.01236,0.00404,2.1979,3.61515,2.28626,0.00012,0.00012,0.00012
2,7.83154,1.6162,2.83778,1.96235,0.00367,1,0.57238,0.3698,1.1111,3.10702,1.80124,0.00025142,0.00025142,0.00025142
3,9.63796,1.47754,2.54593,1.86275,0.002,0.54545,0.01807,0.00379,3.69063,4.71258,3.7712,0.0003736,0.0003736,0.0003736
4,11.4862,1.53158,2.49555,1.86545,0.00367,1,0.25297,0.09366,1.95348,3.54961,2.4362,0.00048654,0.00048654,0.00048654
5,13.1659,1.25362,2.29278,1.66225,0.00367,1,0.11495,0.0503,1.95545,3.39179,2.52396,0.00059024,0.00059024,0.00059024
6,15.0108,1.43673,2.25257,1.75294,0.00267,0.72727,0.02974,0.01088,3.1044,4.66862,3.40876,0.0006847,0.0006847,0.0006847
7,17.195,1.45761,2.30568,1.80318,0.002,0.54545,0.0111,0.00242,3.38558,4.25556,4.2655,0.00076992,0.00076992,0.00076992
8,20.1625,1.35425,2.11367,1.69115,0.00723,0.27273,0.00921,0.00323,3.83241,5.04003,4.86936,0.0008459,0.0008459,0.0008459
9,22.1046,1.31026,2.12774,1.62553,0.00687,0.18182,0.00337,0.00082,4.02026,6.9107,5.26476,0.00091264,0.00091264,0.00091264
10,23.8946,1.30653,1.99298,1.6644,0.00859,0.09091,0.00358,0.00139,4.34309,7.05648,6.53092,0.00097014,0.00097014,0.00097014
11,25.7366,1.32587,2.01429,1.68857,0.16904,0.09091,0.02532,0.00755,4.06507,4.8333,5.10903,0.0010184,0.0010184,0.0010184
12,27.4392,1.24447,1.86116,1.6013,0.09395,0.54545,0.14187,0.04819,2.18485,3.35012,3.17402,0.00105742,0.00105742,0.00105742
13,29.1638,1.24106,1.94196,1.60428,0.36963,0.54545,0.29097,0.13381,2.05744,2.82373,3.20876,0.0010872,0.0010872,0.0010872
14,31.2843,1.30581,1.95485,1.67052,0.10601,0.72727,0.10439,0.04746,1.8236,3.41915,2.6966,0.00110774,0.00110774,0.00110774
15,33.7801,1.23259,1.8435,1.5971,0.01733,0.45455,0.01661,0.0059,2.14306,5.68187,2.33556,0.001076,0.001076,0.001076
16,35.977,1.23953,1.78201,1.58653,0.26447,0.36364,0.16664,0.05041,2.18017,3.72203,2.58055,0.00101,0.00101,0.00101
17,37.7032,1.27582,1.81556,1.5721,0.32382,0.63636,0.344,0.12853,1.73022,2.23635,2.23734,0.000944,0.000944,0.000944
18,39.4582,1.23537,1.6568,1.5775,0.68868,0.6055,0.53752,0.24075,1.60213,2.04578,2.1373,0.000878,0.000878,0.000878
19,41.2274,1.15325,1.59333,1.48028,0.75073,0.63636,0.70698,0.35842,1.44577,1.76875,1.98237,0.000812,0.000812,0.000812
20,42.9317,1.08927,1.54309,1.47419,0.77856,0.54545,0.57957,0.20328,2.26108,2.24195,2.7556,0.000746,0.000746,0.000746
21,47.4747,1.54262,2.43214,1.93274,0.83027,0.54545,0.57197,0.28175,1.96626,2.10324,2.59033,0.00068,0.00068,0.00068
22,50.4419,1.32046,2.18481,1.76646,0.98231,0.63636,0.71871,0.39122,1.56702,1.72204,2.04798,0.000614,0.000614,0.000614
23,52.4409,1.1911,1.98017,1.67948,0.98014,0.72727,0.82229,0.46081,1.54669,1.55343,2.46688,0.000548,0.000548,0.000548
24,54.0896,1.28156,1.97502,1.76094,1,0.71802,0.78356,0.46557,1.58655,1.64222,2.35527,0.000482,0.000482,0.000482
25,55.7842,1.17177,1.90141,1.67046,0.98318,0.63636,0.78643,0.44777,1.53507,1.53538,2.26857,0.000416,0.000416,0.000416
26,57.4852,1.22675,1.94882,1.68088,0.79737,0.72727,0.75068,0.35883,1.65989,1.77278,2.35762,0.00035,0.00035,0.00035
27,59.2171,1.09445,1.75096,1.5589,0.69034,0.72727,0.62977,0.28109,1.87526,1.96327,2.5355,0.000284,0.000284,0.000284
28,61.5663,1.06414,1.67005,1.5232,0.72589,0.54545,0.60677,0.28977,1.94696,1.92326,2.57509,0.000218,0.000218,0.000218
29,64.114,1.03784,1.63139,1.54735,0.62785,0.63636,0.64554,0.34295,1.91758,1.79922,2.52537,0.000152,0.000152,0.000152
30,65.8677,1.03449,1.63314,1.52847,0.77249,0.61907,0.68454,0.38572,1.79473,1.63316,2.44762,8.6e-05,8.6e-05,8.6e-05
